Score,Feedback,Date,Response,Review URL
5,"The online procedure was easy. Questions answered promptly. A video call with my allocated solicitor, to confirm that the draft will properly reflected my wishes.","2026-03-18","",https://uk.trustpilot.com/reviews/67d9e8f8e8e8e8e8e8e8e8e8
5,"I cannot rate Helen Dawson highly enough in dealing with 2 matters with the Land Registry which LR took over a year to conclude. Helen’s professionalism , positive attitude providing clarity , quickne...","2026-03-19","",https://uk.trustpilot.com/reviews/67db3c8e8e8e8e8e8e8e8e8e
5,"I would like to highly recommend Lawhire, I was put in touch with my a Lawyer Farasat Ahmed, since December 2025. I am so please with this Gentleman's support through my case, There have been times wh...","2026-02-20","Company replied",https://uk.trustpilot.com/reviews/67b79c8e8e8e8e8e8e8e8e8e
5,"I needed legal advice urgently as time was running out. I received a response straight away. Angalee and Robert were brilliant in making me feel heard and responding to my calls and emails. I am so gr...","2026-02-20","Company replied",https://uk.trustpilot.com/reviews/67b79d8e8e8e8e8e8e8e8e8e
5,"Ishrat Khan handled my mortgage buyout case and provided an excellent service. I was kept informed throughout the process and any queries I had were answered quickly and clearly. The Lawhive po...","2026-02-21","Company replied",https://uk.trustpilot.com/reviews/67b8ee8e8e8e8e8e8e8e8e8e
5,"I highly recommend Johannes of Lawhive who has been working on my complex case. He is genuinely interested in my case from the start and is transparent with fees giving me an indication of costs. H...","2026-02-19","Company replied",https://uk.trustpilot.com/reviews/67b64c8e8e8e8e8e8e8e8e8e
5,"We were recommended Johannes after having problems with the rental agreement with our tenant. He has responded promptly with advice. Taken time to answer questions and explain. We understand we are no...","2026-02-18","Company replied",https://uk.trustpilot.com/reviews/67b4fc8e8e8e8e8e8e8e8e8e
5,"Very quick response, and telephone contact made as agreed. Then each stage completed without hassle online with lawyers who responded very quickly to my messages. I did feel that this is something I c...","2026-02-22","Company replied",https://uk.trustpilot.com/reviews/67ba3c8e8e8e8e8e8e8e8e8e
5,"Mark Niven has provided me the best service (ever!) when it comes to dealing with the legals for a commercial property purchase transaction. I hope I will be in a position to appoint Mark again very s...","2026-03-09","",https://uk.trustpilot.com/reviews/67cdcc8e8e8e8e8e8e8e8e8e
5,"My allocated solicitor was so patient and gave careful, considered and invaluable advice. My case was not straight forward and dragged on with various unforeseen changes but she persisted and secured...","2026-03-18","",https://uk.trustpilot.com/reviews/67d99c8e8e8e8e8e8e8e8e8e
5,"After contacting my local lawyers they referred me to Lawhive and Angalee Pandya. I had a fairly straight forward ( as it turned out) HR document to have reviewed signed and returned to the...","2026-03-13","",https://uk.trustpilot.com/reviews/67d2fc8e8e8e8e8e8e8e8e8e
5,"I have been searching for advice and support on Tenancy eviction. After speaking to Inayah she helped allay my anxieties. Her calm, confident, friendly and very professional manner helped alleviate my...","2026-03-01","Company replied",https://uk.trustpilot.com/reviews/67c33c8e8e8e8e8e8e8e8e8e
5,"Angalee pandya absolutely bloody wonderful, never met the lady. Seen a picture of her seems like a no nonsense lady. AND I was right, VERY helpful, VERY on the ball, VERY impressed. First time be...","2026-03-17","",https://uk.trustpilot.com/reviews/67d84c8e8e8e8e8e8e8e8e8e
5,"I spoke to Michelle yesterday who gave me very good information, information that was easy to understand. The company offered me a fixed rate which gave me peace of mind that the charge was not going...","2026-02-27","Company replied",https://uk.trustpilot.com/reviews/67c09c8e8e8e8e8e8e8e8e8e
5,"I would highly recommend Basmah Yousuf and Sabbir Shahjahan for their speedy professional service. Prior to their involvement, I had been assigned a completely useless solicitor at Lawhive, who I late...","2026-02-28","Company replied",https://uk.trustpilot.com/reviews/67c1ed8e8e8e8e8e8e8e8e8e
1,"Beyond terrible and utter time wasters. We engaged them for conveyencing - just a simple sale. We went through there lengthy ID verification process which took several days then waited 6 days for them...","2026-03-17","Company replied",https://uk.trustpilot.com/reviews/67d89c8e8e8e8e8e8e8e8e8e
5,"Easy to contact and Zak was friendly and informative. He provided guidance on pricing and the service that I required. In the end, I decided to wait and there was no pressure to make a rush decision...","2026-02-27","Company replied",https://uk.trustpilot.com/reviews/67c04c8e8e8e8e8e8e8e8e8e
1,"Absolutely shocking experience so far and its still not finished. The solicitors, two of which I've been passed to now, give zero cares about your case, we must just be side action, I'm thousands o...","2026-03-02","Company replied",https://uk.trustpilot.com/reviews/67c49c8e8e8e8e8e8e8e8e8e
1,"Do not go near this firm. I sold a property and the buyer’s lawyers released funds to me unconditionally after exchange and LawHive have taken so far 3 weeks plus and refuse to send the funds to me. T...","2026-03-06","Company replied",https://uk.trustpilot.com/reviews/67c9cc8e8e8e8e8e8e8e8e8e
5,"I happened to find Lawhive by chance after being let down by another conveyancing solicitor. From the start, I was hugely impressed in how matters were handled. Esther Ekpo, who acted for us, was ex...","2026-03-06","",https://uk.trustpilot.com/reviews/67c99c8e8e8e8e8e8e8e8e8e
5,"Julie listened and understood our issues, then guided us through their resolution. The process was painless and conducted in a friendly but efficient manner. Very happy to recommend Law Hive and Jul...","2026-03-03","",https://uk.trustpilot.com/reviews/67c59c8e8e8e8e8e8e8e8e8e
5,"My Advisor/Solicitor - William Goh was absolutely brilliant throughout the whole process. He explained everything and made sure I understood everything. Top guy and very personable. 1....","2026-02-20","Company replied",https://uk.trustpilot.com/reviews/67b75d8e8e8e8e8e8e8e8e8e
5,"Ritu Patel was fantastic! She explained everything to me so well, and really had my back during the process. I’m thankful for her service and the process lawhive use is simple to follow.","2026-03-03","Company replied",https://uk.trustpilot.com/reviews/67c54d8e8e8e8e8e8e8e8e8e
5,"Good clear communication from the start, did what they said they were going to do, transaction went smoothly without delay or drama.","2026-03-03","",https://uk.trustpilot.com/reviews/67c55e8e8e8e8e8e8e8e8e8e
5,"I have been very nicely surprised by the very personal, supportive and professional approach I have encountered with Lawhive. I am very grateful to both Nancy and Saiqa for everything that they have d...","2026-02-18","Company replied",https://uk.trustpilot.com/reviews/67b49c8e8e8e8e8e8e8e8e8e
5,"I found speaking to Nadine a very good experience. Nadine was professional polite and friendly during our conversation. She knew what she was doing and did it expertly.","2026-03-19","",https://uk.trustpilot.com/reviews/67db8c8e8e8e8e8e8e8e8e8e
5,"I dealt with Anne Njoroge. From start to finish of the process i found her efficient & friendly, and she stuck to the timescales she advised. Highly recommended.","2026-03-03","",https://uk.trustpilot.com/reviews/67c57c8e8e8e8e8e8e8e8e8e
5,"I felt very supported by my solicitor Emelia during the duration of my matter. Her professional conduct was outstanding. She took time to explain to me all the legal matters in my case, which made thi...","2026-03-17","",https://uk.trustpilot.com/reviews/67d89d8e8e8e8e8e8e8e8e8e
5,"I’ve had a really positive experience with Lawhive so far. From the beginning, their customer service has been excellent – responsive, professional, and genuinely helpful. Any questions I’ve had w...","2026-02-25","Company replied",https://uk.trustpilot.com/reviews/67bd9c8e8e8e8e8e8e8e8e8e
5,"When the traditional legal firms wouldn't or couldn't take my case, Lawhive were only too happy to help. With the guidance and support of my assigned lawyer I was able to fight my corner and save myse...","2026-03-05","",https://uk.trustpilot.com/reviews/67c88c8e8e8e8e8e8e8e8e8e
1,"Unfortunately my experience with Lawhive was not positive. Wasted money and valuable time. I need to appoint a new solicitor in the end. The solicitor I was asigned to did not contact me over 14 day...","2026-03-10","Company replied",https://uk.trustpilot.com/reviews/67cfbc8e8e8e8e8e8e8e8e8e
5,"Trying to evict a tenant. Sabian at Lawhive was very meticulous and explained the process for evicting a tenant in a really clear and concise manner. Any hurdles involved in this process were dea...","2026-02-26","Company replied",https://uk.trustpilot.com/reviews/67be9c8e8e8e8e8e8e8e8e8e
5,"My recent experience with my Lawyer ( Lawhive ) was very interactive and mutual. I truly have confidence in my lawyer,that she will work hard to see my application to be successful. I will recomm...","2026-03-01","Company replied",https://uk.trustpilot.com/reviews/67c34c8e8e8e8e8e8e8e8e8e
5,"So far it’s been a positive experience and hope it will continue to be throughout the rest of the process. A vast improvement on the service I have had with other solicitors recently.","2026-03-16","",https://uk.trustpilot.com/reviews/67d75c8e8e8e8e8e8e8e8e8e
5,"Lawhive dealt with me in a friendly, professional and speedy manner. Purchasing a property can be a stressful time, but Lawhive, their professional staff and their online interface alleviated that an...","2026-03-13","",https://uk.trustpilot.com/reviews/67d45c8e8e8e8e8e8e8e8e8e
5,"My experience with Lawhive was exceptional. I was recommended to use them by a friend and I am so glad I did. My first call was with Esther who clearly explained the process and the fixed fee (whic...","2026-03-01","Company replied",https://uk.trustpilot.com/reviews/67c33c8e8e8e8e8e8e8e8e8e
5,"My lawyer was super fast, easy to work with, extremely efficient and a pleasure to talk to. Arti Vadher made the whole process stress free. Will definitely use again and highly recommend this se...","2026-02-26","Company replied",https://uk.trustpilot.com/reviews/67beec8e8e8e8e8e8e8e8e8e
5,"Unfortunately our sale fell through so were were unable to proceed but Zak Ahmed was such a professional and a well mannered gent the whole way. Very friendly service and very attentive and answered...","2026-02-26","Company replied",https://uk.trustpilot.com/reviews/67bf3c8e8e8e8e8e8e8e8e8e
5,"I really dislike going online and looking for professionals in their chosen field. I prefer word of mouth. However I have now had the pleasure of finding Nadine twice while needing legal advice. The...","2026-02-25","Company replied",https://uk.trustpilot.com/reviews/67bd9c8e8e8e8e8e8e8e8e8e
1,"They started my case in May 2025, paid them all they asked for, To date, its still outstanding. Sent for an update on 13th March, no reply. Wasted my time & money. Sent a barrister, who was weaker tha...","2026-03-18","Company replied",https://uk.trustpilot.com/reviews/67d94c8e8e8e8e8e8e8e8e8e
5,"We dealt with Aphya and she was lovely to deal with. Very efficient and helpful and was available for any questions or concerns we had along the way. Thank you :)","2026-03-05","",https://uk.trustpilot.com/reviews/67c89c8e8e8e8e8e8e8e8e8e
5,"Finding an on line legal service that was not costly and good was a good find. Esther made the process very simple after our initial call.","2026-02-24","Company replied",https://uk.trustpilot.com/reviews/67bc4c8e8e8e8e8e8e8e8e8e
5,"Charlie Prendergast was extremely helpful and efficient. Everything was handled promptly and smoothly. I wouldn’t hesitate to recommend.","2026-02-25","Company replied",https://uk.trustpilot.com/reviews/67bd3c8e8e8e8e8e8e8e8e8e
5,"The service was clearly explained, communication was very good. Pricing was explained before proceeding and a breakdown was provided. Lawhive were excellent in the service they provided me.","2026-03-10","",https://uk.trustpilot.com/reviews/67cf4c8e8e8e8e8e8e8e8e8e
5,"Goldie was my representative for the sale of my property. I found Goldie very informative, efficient & patient. My transaction was not without its difficulties but she handled them extremely well. Sh...","2026-02-22","Company replied",https://uk.trustpilot.com/reviews/67ba3d8e8e8e8e8e8e8e8e8e
5,"Prompt responses to my emails and questions. Always willing to take the time and patience to explain legalities. I would certainly recommend Lawhive for anything connected to landlord /tenant problems...","2026-03-10","",https://uk.trustpilot.com/reviews/67cf9c8e8e8e8e8e8e8e8e8e
1,"Very frustrating!!! Communication is very poor. Delays and constantly ignored emails. Ended up chasing the courts and submitting the forms myself to evict a tenant. To Lawhive it is case close...","2026-02-22","Company replied",https://uk.trustpilot.com/reviews/67ba4c8e8e8e8e8e8e8e8e8e
1,"I wouldn't recommend as delayed in contact and you can call the solicitor Didn't find them helpful actually quite rude to be honest as they don't like you to send too many emails which is diffic...","2026-03-03","Company replied",https://uk.trustpilot.com/reviews/67c5e8f8e8e8e8e8e8e8e8e8
1,"Lawhive found a solicitor for my leasehold extension, but the solicitor stopped responding to me. Now Lawhive has dropped my case in the middle of it. They are offering a full refund, but I find the b...","2026-03-18","Company replied",https://uk.trustpilot.com/reviews/67d98c8e8e8e8e8e8e8e8e8e
1,"Absolutely terrible never been messed about more in my entire life - we’re currently trying to buy a house we had a completion date and now its been put on hold for no explanation whats so ever. This...","2026-03-03","Company replied",https://uk.trustpilot.com/reviews/67c59c8e8e8e8e8e8e8e8e8e
5,"Timings, costs and ease to understand. Also the legal advice I received was very clear. Hailey-jo was very helpful.","2026-03-19","",https://uk.trustpilot.com/reviews/67db9c8e8e8e8e8e8e8e8e8e
5,"It was a great experience from start to finish any doubts or questions were answered straight away Very competitive on rates would definitely use them again thanks for all your help mr Charlie Prendergast brilliant service","2026-03-10","",https://uk.trustpilot.com/reviews/67cf7c8e8e8e8e8e8e8e8e8e
5,"Always excellent.. 3rd legal matter resolved .. 100% recommended","2026-03-18","",https://uk.trustpilot.com/reviews/67d99c8e8e8e8e8e8e8e8e8e
5,"The services were sincerely personalised and professional","2025-12-17","",https://uk.trustpilot.com/reviews/6760f1e8e8e8e8e8e8e8e8e8
1,"Advert said free initial consultation...next day chap calls and tells me ...he's neither a lawyer nor able to provide advice...the so-called free initial consultation is to.....give me a quote! Basically fraudulent clickbait","2026-03-24","",https://uk.trustpilot.com/reviews/67e17c8e8e8e8e8e8e8e8e8e
5,"Lillian was amazing, gave me great advise dealt with the situation very promptly. Would strongly recommend her when using this service","2026-03-24","",https://uk.trustpilot.com/reviews/67e18c8e8e8e8e8e8e8e8e8e
1,"Slow process and felt constantly like they didn't want the business. We were assigned a solicitor to review a pre nup that had been drafted by a London lawyer of 30+ year experience which we were satisfied with. The lawhive solicitor disagreed and wanted a full rewrite increasing cost dramatically so we suggested to sign a waver to elevate concerns but they refused and closed the case, no discussion. On top they still charged 25% of the fee for reviewing the prenup that the other solicitor wrote and for sending 2 emails. Cheap fees lure you in but they clearly just want to ramp up the add on.","2026-03-24","Company replied",https://uk.trustpilot.com/reviews/67e19c8e8e8e8e8e8e8e8e8e
1,"1 year into a case to create an easement for the installation of electricity cables across my neighbours land, Lawhive decide to change their policy around representing multiple parties. Not only has this left me high and dry without support, I cannot afford the legal fees to instruct 4 additional lawyers, and the project has fallen through. On top of this, I now have to fight for my money back, despite it being their decision which caused this problem in the first place. I would avoid at all costs.","2026-03-24","Company replied",https://uk.trustpilot.com/reviews/67e1ac8e8e8e8e8e8e8e8e8e
5,"I have just had my initial telephone call from Nadine Awbi, who was extremely helpful, professional and friendly. She explained everything clearly, including next steps should I wish to proceed (there was no pressure to do so). I decided to proceed and am now awaiting allocation of suitable specialist employment solicitor. All in all a very positive experience so far.","2026-03-24","",https://uk.trustpilot.com/reviews/67e1bc8e8e8e8e8e8e8e8e8e
1,"There is no way to get in touch with them.","2026-03-24","Company replied",https://uk.trustpilot.com/reviews/67e1cc8e8e8e8e8e8e8e8e8e
1,"A disorganised experience compounded by the inability to fulfil their promise of appointing a solicitor anywhere within the promised timeframe. Needing a swift and smooth purchase process, their service was not for me.","2026-03-23","Company replied",https://uk.trustpilot.com/reviews/67e07c8e8e8e8e8e8e8e8e8e
5,"All of the process start to finish keeping me informed very helpful","2026-03-16","",https://uk.trustpilot.com/reviews/67d74c8e8e8e8e8e8e8e8e8e
5,"Very supportive, understanding and highly professional! Thank you Yvonne Stevens!","2026-03-23","",https://uk.trustpilot.com/reviews/67e08c8e8e8e8e8e8e8e8e8e
5,"Excellent advice from Alex Clarke. When your ex tells you one thing and reality tells you something else, it helps to have a solicitor who actually knows which one to believe. Lawhive guided me through every stage; from the early days of mediation right through to receiving my sealed Consent Order from the court, 2.5 years later. Clear advice, no drama, exactly what you need when everything else is the opposite of that.","2026-03-23","",https://uk.trustpilot.com/reviews/67e09c8e8e8e8e8e8e8e8e8e
5,"GREAT HELP FROM ROBERT O'DONNELL","2026-03-23","",https://uk.trustpilot.com/reviews/67e0ac8e8e8e8e8e8e8e8e8e
5,"An excellent service, cost effective, friendly and very professional. Will definitely use again if the need arises in the future.","2026-03-23","",https://uk.trustpilot.com/reviews/67e0bc8e8e8e8e8e8e8e8e8e
1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.","2026-03-03","",https://uk.trustpilot.com/reviews/67c57c8e8e8e8e8e8e8e8e8e
5,"Great service from Zac, super quick response to our online enquiry, and on a Sunday! He was reassuring too, he helped to put our minds at ease when discussing the issues of our case, and sent over the online details promptly making us feel confident in our choice of law firms.","2026-03-22","",https://uk.trustpilot.com/reviews/67df7c8e8e8e8e8e8e8e8e8e
5,"Clear communication","2026-03-22","",https://uk.trustpilot.com/reviews/67df8c8e8e8e8e8e8e8e8e8e
5,"As a first-time buyer with no prior experience of the property market and testing personal circumstances due to medical issues and variable accommodation, I found Lawhive through a web-search and have found them to be straight forward and professional to deal with. Both through the commissioning stage where I needed to secure agreement of the shared owner of the property being purchased, and through the purchasing process.","2026-03-21","",https://uk.trustpilot.com/reviews/67de7c8e8e8e8e8e8e8e8e8e
5,"I believe that I'm with the right people for the job.","2026-03-20","",https://uk.trustpilot.com/reviews/67dd7c8e8e8e8e8e8e8e8e8e
